pk,sk,assigned_cohort,fee,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,from_where_did_you_hear_about_us,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,relation_id,reward_awarded_date,completion_date,withdraw_reason,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,team_creator,send_for_approval_mechanism_t_c,please_identify_your_student_status,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship1,i_will_be_available_from79_pm_ist730930_am_cst_for_meetings_onc,from_which_medium_did_you_hear_about_the_internship,why_do_you_want_to_apply_for_this_internship,withdraw_date,created_at,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010Z56C78JF7M6VQXQ2,,0,,,,,,,1723629639980,,,,Internship,,,,,,,,,,,,,,,,,,,,,1723629639980,,WorkItem#0000000010ESH8XBYR96NYRX11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#838ff3db-f3de-4ae4-9c06-29632039ad2c,Learner#000000000G1RYRMC22H9RYCYSP,,,1010,,0,,unpaid,,1677139357291,2023-02-23T08:02:37.290Z,GlobalShala Website,,,,BTSZMU1,B185711,,,,,,,,TRUE,,,,,,,,vsvxc,,1677139357291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010K1EA93ZGXZA0S5NG,,33,,,,,,,1686381847478,,,,Career,,,,,,,,,,,,,,,,,,,,,1679310800219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010MXXW8GCFYE5S30PB,BFSHUCM,,1070,1697094086113,0,,unpaid,,1697094086309,2023-10-12T07:01:25.497Z,Illinois Institute of Technology,This is an auto approved opportunity,,,,BFSHUCM,,,,,,,584654698,TRUE,,,,,,,,,,1697094085499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#f9f52ded-a970-4700-830a-c13df19749e6,Learner#0000000010BMP2H74SMG8HWQQ9,BU5NLYK,,1070,1774502025544,0,,unpaid,,1774502026134,2026-02-23T09:13:02.199Z,Saint Louis University,Candidate meets all requirements,,,,BU5NLYK,,,,,,,APP12345,TRUE,,,,,,,,I want to apply for this internship to improve my skills and learn from industry experts.,,1771837982199,,WorkItem#0000000010HNJXTP16VX848W51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010V1FQTM6225F4HGBF,,,1030,1714217388011,1,,unpaid,TRUE,1714217388052,2024-04-26T14:17:19.239Z,Illinois Institute of Technology,Rejecting,,,,BS2PYV1,,,,,,,,,,,,,,,,,,1714141039239,,WorkItem#00000000105ZR4Z55NGXCQXHG9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#6f39a383-aa51-4642-8995-61e49649f6d8,Learner#00000000104G9QFHECKMCD2A2F,,,1010,,0,,unpaid,TRUE,1742986504384,2025-03-26T10:55:04.384Z,Google Search,,,,,BNNFH3K,,,,,,,,,,,,,,,,,,1742986504384,http://localhost:4200/user-profile/personal-information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#c577f426-abe7-4f04-a8db-92cff7ca86bd,Learner#000000000G1RYRMC22H9RYCYSP,,,1030,1682333589131,200,,unpaid,,1682333589239,2023-04-11T08:33:24.750Z,Social Media,not,,,,B185711,,,,,,,,TRUE,,,,,,,,For Experience ,,1681202004751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010CTBSXC407YQRNBXZ,B89L7YP,,1070,1697088776119,0,,unpaid,,1697088776387,2023-10-12T05:32:55.273Z,Illinois Institute of Technology,This is an auto approved opportunity,,,,B89L7YP,,,,,,,,TRUE,,,,,,,,dsad,,1697088775274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#6ca14518-2878-4135-adc1-06e6f0605e0b,Learner#0000000010VM9E97B0CBPMNZ4D,B3V0FWZ,,1120,1721382458168,0,,unpaid,,1721382527905,2024-07-19T09:47:14.529Z,Social Media,a,,,,B3V0FWZ,,1721382527465,1721382527465,,,,,TRUE,,,,,,,,1,,1721382434529,,WorkItem#0000000010NGSQ37EWYT1MBHBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
